ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 福建,我的饱饱…………🥵🥵🥵🥵🥺🥵🥵 ,[],False,0.24800461530685425
发布于 上海,"诱夜欢愉，绝色沉沦。
TOM FORD BEAUTY品牌香氛与彩妆形象大使 演员@朱一龙 现身#TOMFORD绝色之境#，银灰西装矜贵雅致，彰显摩登诱惑。
#TOMFORDBEAUTY# ",[],False,0.05011117458343506
发布于 北京,生日快乐呀！虽然你已经是一个大朋友了，但其实有时候还是会想到你还是小朋友的样子[思考]那么就希望让大朋友的自由和小朋友的快乐带着你，勇敢去开启你的20岁吧！ ,[],False,0.0662873387336731
发布于 重庆,"周末快乐[耶]
舞蹈练习小邓上线[收到]
#小邓的日常# http://t.cn/A6Ncm8eg ",[],False,0.3154566287994385
,【疫情防控安全收取快递】 温馨提示广大市民，收取快递时要注意少接触、勤消毒、速洗手，疫情防控共同努力！ ,[],False,0.3131452798843384
发布于 江苏,"🔥这天气说热就热了，冬装脱下直接换夏装
🥣面条|冰淇淋|甜品｜咖啡|川菜|奶茶|砂锅|铁板鱿鱼，🐷哪只猪一天炫这么多啊！
🌸好在路边的花还停留在春天，开满枝头
[举手]五一你们打算去哪里玩呀！我要去一趟武汉，有武汉的宝子嘛！推荐推荐美食和景点呀！
#人间四月天##美食新势力大赛# @微博美食 http://t.cn/A6Ncm1qz",['武汉'],True,0.2955114245414734
发布于 北京,#欢乐颂4# 朱喆——我的互联网嘴替❤️ #明星剧好玩# http://t.cn/A6NcEAK9 ,[],False,0.31406599283218384
,【疫情防控安全收取快递】近日，多地出现疫情反复，有部分快递出现涉疫情况。@上海消防 温馨提示广大市民，收取快递时要注意少接触、勤消毒、速洗手，疫情防控共同努力！#蓝朋友科普消防知识# ,['上海'],True,0.3980942964553833
,#4月1日新增本土无症状7789例# 【疫情期间怎样安全取快递？】 拆快递的快乐虽然令人”上头“，但是因快递包裹辗转多地，我们同时也要增强取快递时的防感染意识。那么取快递时如何进行防护呢？  #蓝朋友科普消防知识# @吉林消防 ,['吉林'],True,0.5250957012176514
,"一个视频教会你快递丢失，被各方推卸责任时应该如何维权
官方投诉电话+沟通技巧

有用的知识增加了[good]（震惊）http://t.cn/A6fjHl3U ",[],False,0.728060245513916
,你平常都是怎么处理收到的快递？  http://t.cn/A66WracA ,[],False,0.9420340657234192
, 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我发出愚人节第一声爆笑 http://t.cn/A66W4Aev  ,[],False,0.2594417929649353
,近日，内蒙古巴彦淖尔，村民晚间散步时发现水渠中疑似有人落水漂浮水面。吓得赶紧报警求助。消防员黑夜赶赴，成功打捞上岸的一幕却让人哭笑不得，原来所谓的落水者，竟是一只瘪了气的充气娃娃。#蓝v视界# http://t.cn/A66CrxW8  ,"['内蒙古', '巴彦淖尔']",True,0.5162462592124939
,近日，内蒙古巴彦淖尔，村民晚间散步时发现水渠中疑似有人落水漂浮水面。吓得赶紧报警求助。消防员黑夜赶赴，成功打捞上岸的一幕却让人哭笑不得，原来所谓的落水者，竟是一只瘪了气的充气娃娃。#蓝v视界# http://t.cn/A66CrxW8  ,"['内蒙古', '巴彦淖尔']",True,0.5162462592124939
,"一个视频教会你快递丢失，被各方推卸责任时应该如何维权
官方投诉电话+沟通技巧

有用的知识增加了[good]（震惊）http://t.cn/A6fjHl3U ",[],False,0.728060245513916
,【#你认为杂技表演该取消吗#？】4月15日，安徽宿州埇桥区蒿沟镇一场演出现场，女杂技演员表演时从高空坠亡，引发关注。你认为杂技表演该取消吗？#演出公司回应女演员演杂技时坠亡##官方称女演员坠亡演出无安全措施# http://t.cn/A6Ncn5WH ,"['宿州', '安徽']",True,0.3599157929420471
发布于 西藏,家人们谁懂啊，今天在这片林子，有一大虫子飞我俩嘴唇之间了，我呸一下啐出去了，它掉到半空中我发现还挺好看，花萤还是拟天牛啥的，想抓回来结果它借我那啐劲儿飞走了，真的绝绝子 ,[],False,0.8065665364265442
发布于 广东,这两个男人偏偏不信邪，他们结伴来到喇叭怪经常出现的地方，结果......#春日荐片季##影视e周说# http://t.cn/A6NcmSsS ,[],False,0.3638650178909302
发布于 北京,#电视剧龙城# 看起来[嘻嘻][送花花] ,[],False,0.3257753849029541
,近日，内蒙古巴彦淖尔，村民晚间散步时发现水渠中疑似有人落水漂浮水面。吓得赶紧报警求助。消防员黑夜赶赴，成功打捞上岸的一幕却让人哭笑不得，原来所谓的落水者，竟是一只瘪了气的充气娃娃。#蓝v视界# http://t.cn/A66CrxW8 ,"['内蒙古', '巴彦淖尔']",True,0.5162462592124939
发布于 广东,"见到自己倒影的小狗[抱一抱]
 #小狗好像被自己迷住了##4月奇趣季# http://t.cn/A6NcEUP7 ",[],False,0.04563421010971069
发布于 河北,华为问界m5全车快捷键你都会使用了吗？#汽车##全球热门车# ,[],False,0.31622666120529175
发布于 湖南,"开开心心顺顺利利的结束#超级红人节#务工
明年再见啦盆友们🫡
这次堪称是大型网友见面
所有岗位的工作人员们辛苦了💦
2023继续努力争取明年再冲一个奖🏆

#超级红人节长沙见##超红每一帧#  ",['长沙'],True,0.33252352476119995
发布于 上海,"第n次来长沙啦[憧憬]这次当然要吃点不一样的！喝了臭豆腐拿铁[害羞]吃了螺蛳粉火锅！吃完觉得整个人都腌入味了[doge]那可真是满车飘“香”～
也为了各种小吃甜品探了各种店[心]心心念念的杨梅冰，芋圆杯，巧克力手捧冰！夏天的快乐不就是吃冰吗～

#城市味蕾战##长沙探店# http://t.cn/A6NcRE4z ",['长沙'],True,0.02193397283554077
发布于 上海,"@361度，你是懂时尚的️‍❤️‍🔥

啊啊啊！这次收到邀请，去了#361度深圳时装周潮流大秀#,太激动了！@361度 作为我初中至今的老朋友，这次大秀让我眼前一亮✨运动风中融入了现代东方美学元素，经典又时尚。

今日份look当然穿的是361度的国风卫衣啦，灰红拼接，简约又不失时髦感，而且超百搭️✨也是本季很有态度的秀款哦！下半身搭配的酷帅红色皮裙，还很心机地露出了小蛮腰，氛围感拉满，💗这才是甜酷女孩该有的穿搭嘛～","['东方', '深圳']",True,0.011852681636810303
,我分享了话题 ,[],False,0.2644376754760742
,其实泄露的不是在最后扔的时候[并不简单][并不简单][并不简单] ,[],False,0.5067670941352844
,天呐#知遥雾·# ,[],False,0.45557570457458496
