keywords,score
中国有能力有底气确保粮食安全,0.008659183979034424
金莎确诊新冠,0.008590161800384521
毒教材必须引发全社会反思,0.9933725595474243
高考最后10天冲刺,0.008765578269958496
宋丹丹自曝最对不起杨紫的事,0.994157075881958
人教社官网删除人教Pad价格,0.9917389154434204
周深好惨,0.9940515160560608
疫苗异常反应要从六方面开展专业判断,0.9443625211715698
人民教育出版社,0.008525490760803223
会在单位干一辈子的人,0.010141193866729736
92号汽油或首次突破9元,0.01052999496459961
薛凯琪好美,0.008462190628051758
北京吴勇设计工作室不存在,0.9937757253646851
被张碧晨笑死,0.011497199535369873
笔趣阁盗版网文年入62亿,0.9938786625862122
北京一核酸检测点搭上千平凉棚,0.07291698455810547
奔跑吧,0.10327786207199097
我给教材画插画,0.008877992630004883
奔跑吧蔡徐坤秒撕李晨名牌,0.9936308264732361
专家称入户消杀能有效阻止病毒传播,0.01792001724243164
被收养流浪猫协助警方破案获奖,0.013744831085205078
向往的生活,0.008722186088562012
王心凌乘风破浪一公造型,0.9937398433685303
成都AG超玩会人员变动公告,0.8793742656707764
童话作家郑渊洁谈人教版教材争议,0.9940513968467712
贵阳一男子徒手37层楼外向下攀爬,0.9864713549613953
中国科学家提出寻找地球2.0计划,0.010065019130706787
班主任歧视外地孩子与家长发生争执,0.994176983833313
永远要和爱的人有效沟通,0.008875727653503418
人教版数学教材配图被写进硕士论文,0.008784294128417969
乌总统称满意目前中国对待俄乌政策,0.008514583110809326
王一博是内娱卷王吧,0.009763777256011963
ZICO舞台,0.9940127730369568
开始推理吧,0.008838415145874023
韩剧流星,0.9941957592964172
起底问题教材,0.01626574993133545
羽生结弦 衣服,0.00853431224822998
中国平原银行是假银行,0.9941849112510681
男子每天喝6杯奶茶患近10种疾病,0.9941463470458984
一人阳性整楼入户消杀是否合理国家卫健委回应,0.9773181676864624
这些商家没有创作瓶颈的吗,0.02940499782562256
文轩,0.008331894874572754
萌探探探案emo退退退,0.9937415719032288
羽生结弦的腰,0.008631289005279541
