ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 四川,"光与影 丨 黑白默片📷

新风格解锁！
咱就是新中式才是YYDS
超级喜欢看筷子盘发，结果跟着视频一遍就会了！
咱就是说，中国人刻在骨子里的DNA拿捏了[许愿星]

#新中式风格#  丨 #美妆有新意# ",[],False,0.2279335856437683
发布于 江苏,栖霞山风景太棒了[doge][doge]，和我一样棒#Hero全员国风再唱桃花笑##hero久酷[超话]# ,['栖霞'],True,0.08613181114196777
,"
原画职业真的不好找工作 ",[],False,0.04629349708557129
发布于 北京,吹自由的风🍃 ,[],False,0.3063592314720154
发布于 上海,春风和煦的日子里出去刷街放松再合适不过，但OOTD该怎么穿才出彩？不如和我一样，在小细节上选择和春天更配的颜色——绿色，恰好最近被#华为nova11新配色# 所吸引，独特的视觉冲击让人眼前一亮。经典的素皮设计元素，精致中透露出一丝特别的年轻俏皮，和元气满满的春天简直不要太搭。我悄悄替大家试了试，简直是宝藏单品，怎么拍都好看！关于新品的更多信息，大家可以关注下今天的#华为发布会#,[],False,0.015768706798553467
,"
😅😅😅😅 ",[],False,0.5429377555847168
,有电脑就能工作[笑cry]实锤！ ,[],False,0.1355251669883728
发布于 湖南,"#五一档电影扎堆#
只能看到《长空之王》🛫
五一档唯一头部，唯一商业大片🛫
北京国际电影节闭幕影片🛫
质量有保证🛫 ",['北京'],True,0.049709439277648926
,【@ 爱看电影的你，#五一档电影你想看哪部#？】2023“五一档”即将开启，目前已有十余部电影定档，包括《长空之王》《人生路不熟》《检察风云》《惊天救援》等。#五一小长假第1张电影票#，你选择哪一部？评论区聊聊↓↓ ,[],False,0.10827338695526123
,"#女子推理社sofigaro桌游角色大片#  在这个充满谜团和疑云的世界里，跟着女侦探们穿梭于各种案件， 探寻隐藏的线索。 @SoFigaro中文版 携手@戚薇、@张雨绮、@李一桐Q、@我是李雪琴啊、@田曦薇、 @张艺凡，共同开启一场推理之旅。@女子推理社官微 @曾看开

监制/ Tutu
摄影/@AXstudio
编辑/ 丁一
造型/ Echo Zhao 
美术指导/ 79.2 视觉设计 
造型助理/ 陈影、沫然",[],False,0.08350110054016113
,我仿佛看到未来秃头的自己 ,[],False,0.08601891994476318
发布于 广东,"《海的尽头是草原》提名金像奖最佳亚洲华语电影的时候，尔导说“如果拿不到奖你们不要怪我”。我们异口同声地说草原一家人能在金像奖跟导演重聚，这比什么都重要。
然而，当我们的电影获奖那一瞬间，惊喜和幸福还是强烈地冲击了我们。恭喜导演，又何其幸运，第一次参加金像奖的我就分享了这份幸福。
两年前的4月15日，在内蒙古电影集团推荐下，我有幸与尔导和于冬总结缘，在银幕上讲述家乡的故事，开启了我的电影之梦。两年后，在金像奖现场，我亲眼见证这个故事获奖。草原母亲养育三千孤儿的大爱故事，超越时间地域与民族，走进更多人心里。
颁奖典礼上，有很多感激的话要讲，却没有脱口而出。借一点小小感慨再次感谢尔导和这个有温度的剧组。光影创造魔法，草原给予力量，爱在流淌，努力善良的人，会得到眷顾。",['内蒙古'],True,0.058132708072662354
,原画职业缺点：在哪儿都可以办公。 外贸狗职业缺点：随时随地都得办公！[允悲] ,[],False,0.21192562580108643
,"
日 别宣传啦 卷死了[怒] ",[],False,0.6609039902687073
, 有点喜欢 ,[],False,0.10925823450088501
,[允悲][允悲] ,[],False,0.3946841359138489
,我也想学画画[开学季][开学季]但是没时间[单身狗][单身狗] ,[],False,0.19177895784378052
,我还是很喜欢原画的，但也知道原画996。游戏行业，没有爆不了的肝[二哈]用来做副业实在是不合适[允悲] ,[],False,0.17183727025985718
,"承认自己的脆弱并不丢人，会有意想不到的东西从脆弱的地方出来
 ",[],False,0.06467878818511963
,@Yofii_ 你小心 ,[],False,0.6409010887145996
,"看到我的未来了 
随时随地发现新工作 ",[],False,0.01127392053604126
,（在哪都能办公）居家办公自由人一个，我甚至觉得我再也不需要去公司[春游家族] ,[],False,0.3639891743659973
,啊啊啊，画画巨丑的我好想学习原画！！！ipad，apple pencil，procreate全都备齐了，却。。。没有时间开始[泪][泪][泪] ,[],False,0.5049158334732056
,别说原画了，凡是游戏行业的，哪个疫情又逃得掉干活[允悲] ,[],False,0.5983629822731018
,一个板子一支笔 一盏台灯 一个通宵[太开心] ,[],False,0.1676536202430725
,www一直想学画画[二哈] ,[],False,0.05954486131668091
,我曾经跟我爸妈就说过“给我一台电脑，一个板子，一条网线连上WI-FI，把我关在盒子里我都能工作[苦涩][苦涩]” ,[],False,0.7076120972633362
,笔试画到一半愣住[可爱] ,[],False,0.584328293800354
,  我还以为是@原际画传媒  你上热搜了😅 ,[],False,0.7321698665618896
,打工人打工魂 ,[],False,0.6699177622795105
,"
知道了，快删掉[苦涩] ",[],False,0.3442363739013672
,有没有想过文案更惨，只要手机有电，随便哪里都能上班[单身狗] ,[],False,0.7497723698616028
,默默打开了一个画师的朋友圈……没饿死就是在画画了[笑cry][笑cry][笑cry] ,[],False,0.2981017827987671
,对不起 看成原际画了 我还寻思最大的缺点不就是工资低么[doge] ,[],False,0.8937569856643677
,[苦涩] 一个板子一支笔 ,[],False,0.5501447916030884
发布于 湖南,"#绿色原来自带C位属性#春意盎然的季节少不了绿色的加持，太喜欢在草原上吹风的日子了[微风]
#暖春心动季#  ",[],False,0.027233421802520752
发布于 山东,【xportsnews】[aespa5月8日将发行新迷你专辑《MY WORLD》再次掀起热潮]aespa的新迷你专辑《MY WORLD》是继去年7月发行的第二张迷你专辑《Girls》之后时隔10个月发行的专辑，共收录了6首歌曲。通过REAL WORLD回归的aespa成员们将展开世界观的第二季故事。特别是aespa在此次专辑发行之前，将于5月2日率先公开收录曲《Welcome To MY World》，展开回归预热。#aespa[超话]#,[],False,0.15440130233764648
发布于 福建,#五一总得去一趟新疆了吧#想去新疆发现新疆太远太大，五一假期根本不够玩？那不如来我们四川分疆——川西看一看呢？春天的景色一点也不输新疆哦！细细品味，不论我们去哪，我们所在的地方就是最美的风景。#镜头下的新疆有多惊艳#图源@伯牙552 ,['四川'],True,0.142142653465271
发布于 北京,沪上春日，色彩悦目。与华为nova全球代言人@TFBOYS-易烊千玺 共至nova 11系列及全场景新品发布会，目见#华为nova11# 系列出色登场，勇敢表达自我多彩。 ,[],False,0.011014223098754883
发布于 湖北,"#田田向上#

我虽然是个牛仔

#今天很wow# ",[],False,0.3370683193206787
,"
哈哈，小時候特別想成為一位原畫師
可惜沒有這天份和實力[二哈] ",[],False,0.05987882614135742
,只要有电脑就不耽误赚钱的游戏从业者[doge]另外承接游戏3D私活  ,[],False,0.16887825727462769
,笑死地球不停我不停 ,[],False,0.4943733811378479
,同事被隔离，我们人事让人把电脑给他送过去了。[doge] ,[],False,0.23595529794692993
,此话题下看见好多大佬[苦涩] ,[],False,0.2767334580421448
,"
我们游戏建模也差不多了[微笑]
职业通病我真的会谢[微笑] ",[],False,0.28424662351608276
发布于 中国香港,"#云南傣族泼水节最小玩家#

今天又碰到她了，到底泼还是不泼[嘻嘻]
#4月奇趣季##人间四月天# ",['云南'],True,0.1096193790435791
发布于 湖南,"「𝐃𝐑𝐄𝐀𝐌𝐒」 
在梦境尽头 遇见另一个自己🪐 http://t.cn/A6NVOOOo ",[],False,0.18315011262893677
