date,keyword,rank,negative sentiment score
2022-04-11,原画职业缺点,133,0.03232872486114502
2022-04-11,小鹏回应汽车自动辅助驾驶失灵,208,0.5167680978775024
2022-04-11,鼻炎患者看了窒息,308,0.7671453952789307
2022-04-11,沉浸式摸鱼神曲,120,0.014919698238372803
2022-04-11,字写不好与笔无关,48,0.9270440340042114
2022-04-11,二十岁还有这样的尴尬,269,0.5808226466178894
2022-04-11,躺平式抗疫思维要不得,304,0.12241554260253906
2022-04-11,4月9日上海核酸全部白做消息不实,259,0.9110720753669739
2022-04-11,东航副驾驶谣言已涉嫌违法,79,0.8898817300796509
2022-04-16,23岁女生被上司迷晕致死案二审维持无期,284,0.4207063913345337
2022-04-16,一个手指头毁了整只手,157,0.9205905795097351
2022-04-16,女子派出所办业务时接到诈骗电话,292,0.9224420785903931
2022-04-16,太空出差三人组空间站告别vlog,278,0.3030126690864563
2022-04-16,了不起舞社,37,0.4533988833427429
2022-04-16,韩国赛鹰眼回放有点儿离谱,181,0.45087265968322754
2022-04-16,苏伟违体犯规,30,0.4487624168395996
2022-04-16,奇迹笨小孩网播热度,131,0.2700185179710388
2022-04-16,久坐已被世卫列为肠癌高危因素,298,0.3290228843688965
2022-04-16,这猫妈妈多少有点不靠谱,62,0.5477074980735779
2022-04-29,隔着屏幕感受到压迫了,39,0.6031666398048401
2022-04-29,辽宁一教育局人员拿大喇叭回应家长担忧,60,0.3466753363609314
2022-04-29,特朗普称美国正被愚蠢的人管理,227,0.019842088222503662
2022-04-29,张文宏谈不明原因儿童肝炎,144,0.6305892467498779
2022-04-29,北京疫情老传播链又有新风险,55,0.050786495208740234
2022-04-29,韩剧流星,35,0.04528731107711792
2022-04-29,女子疫情前飞境外待产瞒报遭辞退,94,0.4423156976699829
2022-04-29,南京网红流浪猴被抓,61,0.329632043838501
2022-04-29,B站崩了,115,0.7999362349510193
2022-04-20,眼下颗粒怎么办,233,0.7943927645683289
2022-04-20,当警察蜀黍被骗子拉进诈骗群,240,0.7897982001304626
2022-04-20,广州一男子连播三年恐怖录音报复邻居,307,0.35443079471588135
2022-04-20,郑业成沈宴落泪破碎感,19,0.2782360911369324
2022-04-20,秘鲁总统提出化学阉割强奸犯草案,312,0.20751994848251343
2022-04-20,Bin着装不规范被处罚,333,0.8682507276535034
2022-04-20,老鼠偷走店铺内1800多元,175,0.7380543947219849
2022-04-20,全网最丢脸的狗狗,140,0.9162341952323914
2022-04-20,甜丧厌世妆,184,0.3868386745452881
2022-04-27,泰星tangmo死因系他人过失致死,12,0.35032564401626587
2022-04-27,南昌的晚风吹走诸暨的遗憾,290,0.12480753660202026
2022-04-27,男子为泄愤将14管核酸标本强行拿走,267,0.4821750521659851
2022-04-27,日本发现疑似不明原因儿童肝炎病例,153,0.4997740387916565
2022-04-27,妻子欲给男网友转50万丈夫气愤阻拦,22,0.49021703004837036
2022-04-27,微信公众号崩了,311,0.8854720592498779
2022-04-27,近六成美国人曾感染新冠病毒,199,0.34243887662887573
2022-04-27,网传北京出现不明原因儿童肝炎为不实,144,0.8239338397979736
2022-04-27,网易云音乐诉腾讯音乐不正当竞争,138,0.7431721687316895
2022-04-27,多国报告不明病因儿童肝炎超190例,127,0.30933111906051636
2022-04-18,郑州游泳馆坍塌致3死9伤,103,0.715724766254425
2022-04-18,上海一超市员工加价销售商品涉嫌非法经营,258,0.9674572348594666
2022-04-18,AD差距,324,0.2940094470977783
2022-04-18,谢可寅的董帆卑微到尘埃里,299,0.0703122615814209
2022-04-18,部分获得版号游戏公司经营异常,155,0.5315685868263245
2022-04-18,莫斯科号受损照片曝光,128,0.2938796877861023
2022-04-18,乳腺结节会发展成乳腺癌吗,267,0.33460575342178345
2022-04-18,网络诈骗盯上中小学生,275,0.9508353471755981
2022-04-18,美国正沦为人权遭受系统性侵犯的国家,29,0.039110004901885986
2022-04-18,招行股价大跌,189,0.7238985896110535
2022-04-26,岳空牺牲,264,0.035044968128204346
2022-04-26,骗子称求求你把我删了吧,332,0.9696125984191895
2022-04-26,日本疑似出现首例儿童不明原因急性肝炎病例,195,0.38591665029525757
2022-04-26,未来人考古宅男墓有多离谱,145,0.04645371437072754
2022-04-26,男子为泄愤将14管核酸标本强行拿走,6,0.4821750521659851
2022-04-26,九江一楼房墙皮脱落致1死,306,0.9039499163627625
2022-04-26,特战荣耀 惨烈,283,0.26312464475631714
2022-04-26,骗子冒充客服男硕士3小时被骗19万,255,0.9757642149925232
2022-04-26,媒体称饭圈化野蛮追星断不可取,108,0.379691481590271
2022-04-19,论文查重时的崩溃瞬间,172,0.43251633644104004
2022-04-19,广州一男子连播三年恐怖录音报复邻居,35,0.35443079471588135
2022-04-19,男子为网贷搪塞反诈民警被骗44万,285,0.7134263515472412
2022-04-19,摆烂文学,151,0.8857384920120239
2022-04-19,秘鲁总统提出化学阉割强奸犯草案,31,0.20751994848251343
2022-04-19,骗子冒充单亲妈妈撩300多人骗千万,241,0.979812741279602
2022-04-19,Bin着装不规范被处罚,46,0.8682507276535034
2022-04-19,外地返肥人员故意隐瞒行程一家5人阳性,193,0.4135037064552307
2022-04-19,小偷得手后拍视频炫耀当晚被抓,229,0.3172461986541748
2022-04-19,爱情就是双向敷衍,149,0.18076050281524658
2022-04-21,最常见的23种致癌因素,278,0.07985514402389526
2022-04-21,郑业成沈宴落泪破碎感,328,0.2782360911369324
2022-04-21,骗子用AI机器人打1700万个骚扰电话,243,0.9656856656074524
2022-04-21,早产男婴肛门闭锁妈妈几近崩溃,46,0.8013066649436951
2022-04-21,福州沦陷日,228,0.6094562411308289
2022-04-21,危险的口腔溃疡长什么样,261,0.632468044757843
2022-04-21,42岁产妇产后情绪崩溃哭诉太难了,196,0.4886648654937744
2022-04-21,熊猫被蜜蜂贴贴能有多不耐烦,175,0.23378992080688477
2022-04-21,一刀切封控堵路就是懒政,188,0.624078094959259
2022-04-21,逆水寒,191,0.40678781270980835
2022-04-17,猫和老鼠对猫来说是恐怖片,95,0.044791579246520996
2022-04-17,上海一超市员工加价销售商品涉嫌非法经营,10,0.9674572348594666
2022-04-17,AD差距,17,0.2940094470977783
2022-04-17,打情骂俏成非法主播惯用伎俩,172,0.5768976211547852
2022-04-17,催收非法债务罪有多严重,187,0.348472535610199
2022-04-17,乳腺结节会发展成乳腺癌吗,3,0.33460575342178345
2022-04-17,男子卡上无故多33万吓得报警,224,0.41836708784103394
2022-04-17,情侣租户房间堆满垃圾难以下脚,226,0.8004050254821777
2022-04-17,张艺兴说为中国歌手王嘉尔骄傲,108,0.011361122131347656
2022-04-17,上海男子以团购为名诈骗被采取强制措施,284,0.9701790809631348
2022-04-28,女子2小时饮3升水险丧命住ICU,136,0.35688257217407227
2022-04-28,90后宝妈瞒着家人刷单三天被骗54万,134,0.8398459553718567
2022-04-28,北京囤货太多市民直呼后悔,149,0.5213326811790466
2022-04-28,家长怒斥幼儿园给孩子吃过期食品遭怼,59,0.7509984970092773
2022-04-28,福州马尾发现1例可疑阳性,233,0.7962875962257385
2022-04-28,泰星tangmo死因系他人过失致死,296,0.35032564401626587
2022-04-28,liella,254,0.18631023168563843
2022-04-28,小心骗子以健康码异常为由诈骗,195,0.9778247475624084
2022-04-28,10元敲馄饨有多难买,106,0.10381871461868286
2022-04-28,白云机场例行核酸发现异常,234,0.7975004315376282
2022-04-10,上海业主殴打江苏医疗队队员系谣言,223,0.5110007524490356
2022-04-10,虎牙回应主播表演低俗内容,285,0.36820173263549805
2022-04-10,让你最遗憾的一件事,89,0.7234081625938416
2022-04-10,鼻炎患者看了窒息,36,0.7671453952789307
2022-04-10,逆水寒锦鲤,117,0.3215322494506836
2022-04-10,二十岁还有这样的尴尬,24,0.5808226466178894
2022-04-10,念念无明,190,0.22617346048355103
2022-04-10,难听,143,0.9769797325134277
2022-04-10,逆水寒,208,0.40678781270980835
2023-04-02,恋与制作人,117,0.8114102482795715
2023-04-02,最不想收到的一笔退款,292,0.9541137218475342
2023-04-02,麻六记因未给孕妇优待被打差评,198,0.9755231142044067
2023-04-02,我的耳朵被咬了,68,0.8445488214492798
2023-04-02,这个摊没有小狗得散,82,0.7496054172515869
2023-04-02,这居然是个香皂,238,0.8620513677597046
2023-04-02,毛不易演唱会纸飞机起飞失败,255,0.7466287612915039
2023-04-02,你手机换过电池吗,306,0.8951711654663086
2023-04-02,上海的垃圾桶在哪里,140,0.8579253554344177
2023-04-02,不做饭的人冰箱都放什么,79,0.7966116070747375
2023-04-05,现在的衣服尺码,75,0.7761154174804688
2023-04-05,青团是用什么做青,179,0.8046058416366577
2023-04-05,海棠上不去,322,0.8812414407730103
2023-04-05,他是谁编剧说后面不是他写的,161,0.7674798965454102
2023-04-05,不要随便接陌生电话,304,0.8641254305839539
2023-04-05,Hero第三轮掉A,102,0.8304850459098816
2023-04-05,马栓下线,9,0.8601167798042297
2023-04-05,石头赶路,201,0.819489598274231
2023-04-05,养过一次狗后再也不想养了,280,0.8448244333267212
