ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,好喝才是王道，其他劝你们别乱搞[NO]@ 椰树集团 ,[],False,0.2211896777153015
发布于 上海,"Vlog｜一个充实的周六[奋斗]
天气太好 噶闹忙露营去了⛺️#人间四月天##和春天约会# http://t.cn/A6NVBu2k ",[],False,0.36503738164901733
发布于 上海,"巡演生活6…
#春日乐趣大会#
🛫️🏃🏻🚄🍚🤒️👊👋 ",[],False,0.1559300422668457
,"【】
据老板联播，4月12日，海南椰树集团官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。 天眼查App显示，2021年4月，椰树集团曾因发布违背社会良好风尚内容的广告被海南省市场监督管理局罚款40万元。 ",['海南'],True,0.31881874799728394
,"海南椰树集团官博再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。

广告中写道，入学免学费，上学第一年，本科生年薪16.8万，硕士生年薪25.2万，博士生年薪33.6万。

而且每年增长20%，上学到第九年，本科生年薪54.34万，硕士生年薪81.52万，博士生年薪108.69万。有贡献奖励600万海景房、奖励1000万别墅，奖励分红股权。",['海南'],True,0.1952381730079651
,【，多次因低俗广告被罚】4月12日，@海南椰树集团 官微发布招聘广告，称入学就有车、有房、有高薪、有前途、能致富，再次引起争议。比起一年前被罚的广告，改掉了“肯定有美女帅哥追”。椰树牌椰汁包装一直坚持“字要足够大，颜色要足够艳”，但多次因为包装上用美女“助阵”吸引眼球被罚。你能接受椰树广告吗？http://t.cn/A66u56b6,['海南'],True,0.41983991861343384
发布于 安徽,自拍和拍照已经成为年轻人记录与分享生活新的方式。华为nova11系列首发XD Portrait人像引擎，极大降低拍摄难度，让照片更专业生动，即便是摄影小白也能轻松出“大片”，带来更自由的创作空间。#nova11首发人像新技术##华为nova11有哪些看点# ,[],False,0.05325537919998169
,说真的 每次买只看牌子不看包装，上面写的啥我都没看明白过[允悲][允悲][允悲] ,[],False,0.24465954303741455
发布于 四川,"☕打卡100家咖啡店｜No.9｜丹桂咖啡
开在社区楼下的咖啡小店  竟然也这么棒💛

店藏在静谧的桂花巷里 虽然小但很温馨
老板是个漂亮的妈妈 非常健谈🙉
店内豆子品种丰富 也会定期更换 

点了一杯随缘手冲☕️ 选的耶加雪菲全红果
这款豆是老板强烈推荐的 浅烘豆子
味道有点微酸 手冲出来的香味很浓郁 
入口有果味 冰镇后还有乌龙茶的口感🍵

澳白也是老板很推荐的一款🥛
选的中深烘的豆子 奶咖也融合的很好

🏠店名：丹桂咖啡
📍地址：桂花巷51号院沿街
#城市味蕾战##成都探店#",['成都'],True,0.012601852416992188
,人民喜闻乐见的东西，你不喜欢，你算老几？（周总理原话[doge] ,[],False,0.4593236446380615
,"有没有一种可能，椰树集团觉得只有应聘人员，才会仔仔细细看他广告上密密麻麻的字[doge]
我看了看都是大白话，没啥花里胡哨的东西，也可能我滤镜太重了，毕竟他家椰汁是真的好喝！但我希望下次不要再以这个方式看到他了，产品那么硬！没必要让人一直在广告方式上指指点点，希望椰树集团听劝！",[],False,0.33301830291748047
,【比一年前改六个字，：入学就有车，有房，有高薪，有前途，能致富[费解]】4月12日，@海南椰树集团 官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。比起一年前被罚的广告，改掉了“肯定有美女帅哥追“。有网友评论称：你是真硬气！你能接受椰树新发的广告吗？@老板联播 http://t.cn/A66u56b6,['海南'],True,0.2934487462043762
,"【#氪星播报# | 4月13日午间都有哪些#今日大事件#？】
[星星]Top3大新闻
1、#山西应县1名快递从业者核酸检测为阳性#，系#韵达快递#驿站负责人兼快递员
2、#我国科学家发布嫦五月壤最新研究成果#，日前在国际学术期刊上发表
3、信元#发育宝#猫粮导致多只宠物猫患病，目前事件正在调查之中

[星星]科技财经互联网热点
1、#江歌母亲申请江歌网名商标被驳回#，此前已成功申请“心之左岸”商标
2、#康师傅回应老坛酸菜面重新上架#：涉及插旗产品已全部下架
3、，此前曾因争议广告被罚款20万元
4、#万元折叠屏手机是否为智商税#，下一部手机你会选择折叠屏吗？
5、#工行将暂停个人外汇买卖业务新客户签约#，结售汇可正常办理

[星星]还有哪些其他要闻
1、#人类首次登月采集尘埃样本将拍卖#，估价80万-120万美元
2、#别被网红印花口罩的颜值骗了#，#只有这5种口罩符合防疫标准#
3、吉林长春疫情期间，#女子利用志愿者身份卖麻辣烫被行拘#
4、#口腔正畸人均花费数万元#，“免费正畸”陷阱多
5、#智源AI研究院回应大模型论文学术争议#，称将尽快通报事件进展
6、#80后单亲妈妈盼尿毒症儿子早日肾移植#：不管生活再艰难我一定要把他养大成人
7、#北京共享单车需有序停放#，3月违停名单用户将在6月被限制骑行
8、#男子提新车着急回家撞穿邻居后墙#：油门当刹车，目前在定损
9、最近全国陆续出现因杨柳絮引发的火情，#消防员实验杨柳絮点燃有多可怕#
10、#8旬夫妇捡小鸟后确诊鹦鹉热住院#，目前经过治疗，两位老人已出院","['吉林', '北京', '长春', '山西']",True,NA
,"【#椰树曾因广告违背社会风尚被罚40万#】
据报道，4月12日，海南椰树集团官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。比起一年前被罚的广告，改掉了“肯定有美女帅哥追”。
天眼查App显示，2021年4月，椰树集团海南椰汁饮料有限公司曾因发布违背社会良好风尚内容的广告被海南省市场监督管理局罚款40万元。",['海南'],True,0.3143397569656372
,【他带着广告又来了！#椰树集团招聘广告再引争议#[喵喵]】4月12日，@海南椰树集团 再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。与一年前被罚的广告相比，只少了“肯定有美女帅哥追”。有网友评论称：你是真硬气！对此你怎么看？@老板联播 http://t.cn/A66u56b6,['海南'],True,0.32386118173599243
,??so?不理解 ,[],False,0.14367634057998657
,朴实的愿景不好吗 ,[],False,0.07557016611099243
,"
Yue了 ",[],False,0.4832776188850403
,【 ，这次没说“肯定有美女帅哥追”】4月12日，@海南椰树集团 官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。2021年3月25日，椰树集团就发过与之极为类似的广告。相比今年的，当时的文案多了句“肯定有美女帅哥追”。去年的广告发布后，引起很大争议。2021年6月9日，海南省市场监管局对该案行政处罚结果进行公示，椰树集团因“妨碍社会公共秩序或者违背社会良好风尚”被罚款40万。,['海南'],True,0.3714178204536438
,好喝[馋嘴] ,[],False,0.034073829650878906
,【比一年前改六个字，：入学就有车，有房，有高薪，有前途，能致富[费解]】4月12日，@海南椰树集团 官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。比起一年前被罚的广告，改掉了“肯定有美女帅哥追“。有网友评论称：你是真硬气！你能接受椰树新发的广告吗？http://t.cn/A66u56b6,['海南'],True,0.29120194911956787
,【比一年前改六个字，：入学就有车，有房，有高薪，有前途，能致富[费解]】4月12日，@海南椰树集团 官微再发争议招聘广告：椰树集团培养正副总经理再招生！入学就有车、有房、有高薪、有前途、能致富。比起一年前被罚的广告，改掉了“肯定有美女帅哥追“。有网友评论称：你是真硬气！你能接受椰树新发的广告吗？http://t.cn/A66u56b6,['海南'],True,0.29120194911956787
,"
好喝就行，我都从来不看广告语的 ",[],False,0.06123751401901245
,别动我最爱的椰汁[微风][微风][微风] ,[],False,0.100436270236969
,这个模特真的好低俗，出现一次我想骂她一次。我一个女的，特想骂她。 ,[],False,0.08657574653625488
