ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 广东,#王者荣耀钎城[超话]##李现和钎城伪装切磋功夫#有机会再比试比试[作揖] ,[],False,0.3258274793624878
发布于 江苏,"🎶：flower～flower～flower～👐🏻

#jisoo##flower##blackpink# http://t.cn/A6NcFGWJ ",[],False,0.44766175746917725
,#极限挑战第九季探班#资深观众@时代少年团-严浩翔 表示，《极限挑战》是自己从小看到大的节目，还能清楚地记得游戏规则！更多精彩，锁定今晚 21:00东方卫视#极限挑战#第九季! http://t.cn/A6NcDNSI ,['东方'],True,0.035140275955200195
,#小象莫莉[超话]##拯救小象莫莉# 拒绝动物表演，拯救小象莫莉。 ,[],False,0.24934613704681396
,#小象莫莉[超话]##拒绝动物表演# [泪]很无奈我做不了什么，我只能帮忙加一点热度，如果有需要可以捐一点力所能及的钱，希望大家能解救出来你和你的同伴，虐待动物的人希望得到惩治！ ,[],False,0.33021247386932373
发布于 韩国,"#EXO新歌live舞台#今天日本粉丝见面会上EXO新歌《Let Me In》live唱得超棒的舞台
歌曲很难唱但地人们的live果然是信听🥹
+p3~4 今日份游戏中的美貌 ",[],False,0.22592824697494507
发布于 北京,☀️ ,[],False,0.038591861724853516
,有时候甚至会非常悲观的想，如果人类继续这样对待动物们，那人类还不如一起灭亡吧，这样就只剩下最单纯的它们，能够幸福安逸的生活 ,['福安'],True,0.06703692674636841
,#野象谷景区大象表演时突然打架#看看小象莫莉#小象莫莉[超话]##拯救小象莫莉##小象莫莉[超话]#  ,[],False,0.3410595655441284
,"#野象谷景区大象表演时突然打架##拯救小象莫莉# 可能有很多人在观看动物表演的时候只是觉得动物们很聪明很可爱，并没有联想到他们那么聪明的背后是受了多大的痛苦与折磨，所以大家一起拒绝动物表演 别再让可爱的动物朋友们受苦了，他们原本应该自由自在的在野外奔跑，可是却被我们禁锢在一个小小的牢笼，一生都将在活在人类的贪婪和残忍里。
  我为小象莫莉发声 ，而我不止为小象莫莉发声！拒绝动物表演从我做起，大家看到的话可以多多转发，复制我的文案也可以。这几天我在各个平台不管是发作品的方式还是发评论的方式，虽然可能看到的人不多，但是我发现还是有不少可爱的人们关心着我们的动物伙伴们，所以大家真的不要因为这个举动小而不去做，慢慢的知道这件事的人们也会越来越多，小象欣愿已经离开了我们，去了象星，我们不能再看着小象被虐待致死了，我们绝不停歇，更不妥协！",[],False,0.24397945404052734
,#小象莫莉[超话]# 对不起以这样的方式认识你，我们的小公主莫莉，多少个日日夜夜你在挨饿受冻，你该多想念你的莫坡妈妈呀，你被恶魔的虐待时是否在心里默默流泪，为什么这么小要离开爸妈，为什么他们要这么对待你，我们还能怎么做？阻力重重，继续发声，希望你能早日脱离魔爪[泪][泪]#小象莫莉[超话]##拯救小象莫莉##拒绝动物表演#,[],False,0.2742813229560852
,"你的每一次鼓掌可能都会变成落在动物身上的鞭子，请 拒绝动物表演！

#鲁团分享# （喵掌柜老李）  http://t.cn/A66l2Ro8 ",[],False,0.38540852069854736
,#小象莫莉[超话]##拒绝动物表演# 国家一级保护动物在暴躁，有刻板行为。罪犯逍遥自在，不会说话的美丽生物在承受。弱肉强食吗，人类的，疫情如果弱肉强食呢？醒醒吧人类 ,[],False,0.2390841245651245
,#野象谷景区大象表演时突然打架##拯救小象莫莉##小象莫莉[超话]# ,[],False,0.34526127576828003
发布于 浙江,"瓣人评出的内🐟四大普男

#瓣人评的四大普男# ",[],False,0.3488013744354248
,#拯救小象莫莉##小象莫莉[超话]#当你在动物园看到动物们憨态可掬的表演而被逗乐的时候，你不知道它们在背后是如何被驯兽师逼迫训练的！！！请大家拒绝任何一切形式的表演！！@国际爱护动物基金会 @环球时报 @国家林业和草原局 @全国人大 @央视新闻 @中国新闻周刊 @国际爱护动物基金会 @国家林业和草原局,[],False,0.33741694688796997
发布于 江苏,"双香礼盒🌟上线

体香 是人格的表达
清新干净的伪体香和夏季更配哦 ",[],False,0.03338909149169922
发布于 上海,"#2023KPL春季赛#

重庆狼队 vs 济南RW侠 3:2

赢了棒棒，但还是要好好复盘哦🐺🐺
（吓四了吓四了😭🐺🐺打得不是很好但赢了真好😭）
#狼队王者荣耀[超话]# ","['济南', '重庆']",True,0.22694259881973267
发布于 北京,今日天气晴[太阳]#主打一个日常感# ,[],False,0.28140902519226074
发布于 上海,#我的治愈时刻# 🏀🏀🏀 ,[],False,0.35086798667907715
