ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 湖南,"「𝐃𝐑𝐄𝐀𝐌𝐒」 
在梦境尽头 遇见另一个自己🪐 http://t.cn/A6NVOOOo ",[],False,0.18315011262893677
发布于 上海,春风和煦的日子里出去刷街放松再合适不过，但OOTD该怎么穿才出彩？不如和我一样，在小细节上选择和春天更配的颜色——绿色，恰好最近被#华为nova11新配色# 所吸引，独特的视觉冲击让人眼前一亮。经典的素皮设计元素，精致中透露出一丝特别的年轻俏皮，和元气满满的春天简直不要太搭。我悄悄替大家试了试，简直是宝藏单品，怎么拍都好看！关于新品的更多信息，大家可以关注下今天的#华为发布会#,[],False,0.015768706798553467
发布于 北京,"上场前十分钟的我
想要让线条更明显
你呢，想“曜”吗？

#张杰未LIVE巡回演唱会# http://t.cn/A6NVWwjC ",[],False,0.3594926595687866
, QQ浏览器这也太厉害了，搞笑还得是看你，这首歌还真是摸鱼神曲了 ,[],False,0.27047961950302124
,噢不用[兔子] ,[],False,0.45263737440109253
, 人间真实，我真的每天上班都在地铁上搜退休之后去哪玩，这或许就是打工人的生命支撑了吧 ,[],False,0.14108562469482422
发布于 北京,吹自由的风🍃 ,[],False,0.3063592314720154
发布于 广东,"《海的尽头是草原》提名金像奖最佳亚洲华语电影的时候，尔导说“如果拿不到奖你们不要怪我”。我们异口同声地说草原一家人能在金像奖跟导演重聚，这比什么都重要。
然而，当我们的电影获奖那一瞬间，惊喜和幸福还是强烈地冲击了我们。恭喜导演，又何其幸运，第一次参加金像奖的我就分享了这份幸福。
两年前的4月15日，在内蒙古电影集团推荐下，我有幸与尔导和于冬总结缘，在银幕上讲述家乡的故事，开启了我的电影之梦。两年后，在金像奖现场，我亲眼见证这个故事获奖。草原母亲养育三千孤儿的大爱故事，超越时间地域与民族，走进更多人心里。
颁奖典礼上，有很多感激的话要讲，却没有脱口而出。借一点小小感慨再次感谢尔导和这个有温度的剧组。光影创造魔法，草原给予力量，爱在流淌，努力善良的人，会得到眷顾。",['内蒙古'],True,0.058132708072662354
发布于 湖北,"#田田向上#

我虽然是个牛仔

#今天很wow# ",[],False,0.3370683193206787
,近日，#女生因为吃面崩溃#引发网友讨论。视频中女子控诉对象，在自己向面馆老板反映面不好吃后，对象转身就离开的行为让她最后情绪崩溃。你#觉得饭不好吃告诉老板丢人吗#？你如何看待这件事？ http://t.cn/A6NVn4NH ,[],False,0.44815707206726074
发布于 福建,#五一总得去一趟新疆了吧#想去新疆发现新疆太远太大，五一假期根本不够玩？那不如来我们四川分疆——川西看一看呢？春天的景色一点也不输新疆哦！细细品味，不论我们去哪，我们所在的地方就是最美的风景。#镜头下的新疆有多惊艳#图源@伯牙552 ,['四川'],True,0.142142653465271
发布于 湖南,"#五一档电影扎堆#
只能看到《长空之王》🛫
五一档唯一头部，唯一商业大片🛫
北京国际电影节闭幕影片🛫
质量有保证🛫 ",['北京'],True,0.049709439277648926
,我去，这次的QQ浏览器真的是给我们带来了大大的惊喜啊！这歌词太魔性了…有被吸引到！ ,[],False,0.011138379573822021
, 听了这首歌的我就默默的开始打开了QQ浏览器，摸鱼神曲真的好魔性，歌词怕不是就在写我的工作日常，看来打工人的日常就是这样了[嘻嘻] ,[],False,0.006564617156982422
, 默默的打开了QQ浏览器，看来这回总算是有摸鱼的地方了 ,[],False,0.017143547534942627
, 我已经克制不住自己在工位蹦迪的心情了 ,[],False,0.30035072565078735
, 听着听着就默默的打开了QQ浏览器，这首歌的歌词就是带着我们沉浸式的回忆了一下上班摸鱼的时候，每一句都仿佛在重现我摸鱼的场景[开学季][开学季] ,[],False,0.024540066719055176
,哈哈哈，这歌词也太魔性了吧，感觉非常有意思啊。真的是在脑子里挥之不去了！ ,[],False,0.006261348724365234
,工作烦恼通通都甩掉啊，这首歌真的太减压了，必须要听起来。 ,[],False,0.010915100574493408
,我默默地打开QQ浏览器听上这首歌词 魔性的歌声，真是太上头了，满脑子都是这个旋律 ,[],False,0.4636310338973999
, 就问现在的年轻人上班的过程中谁还没有一个摸鱼的时候，QQ浏览器这个摸鱼神曲可真的太会玩了，听着就会觉得整活能力特别强 ,[],False,0.01354074478149414
,看来以后整活还得看QQ浏览器呀，这还是我认识的么。 ,[],False,0.36689168214797974
, 摸鱼神曲不就来了，姐妹们都给我听起来 ,[],False,0.0233268141746521
, 我相信一定不止我一个人已经开始跟着晃头晃脑的了 ,[],False,0.10666608810424805
,  这还是我印象中的QQ浏览器吗？这首摸鱼神曲听着听着就会觉得有一些太真实，总觉得在看自己的生活实录，这不就是上班摸鱼的我吗？ ,[],False,0.30044788122177124
, 这个歌有点魔性，太 洗 脑了，我现在满脑子都是这个旋律[嘻嘻][嘻嘻][嘻嘻] ,[],False,0.036263883113861084
,我去，这词真的是无敌了，没有想到你是这样的QQ浏览器啊！上头了 ,[],False,0.09392052888870239
,笑出声，qq浏览器这一波也太会玩了，居然还有摸鱼神曲，听一遍就停不下来，姐妹们一起摇摆～ ,[],False,0.008585751056671143
,这个怎么这么  洗   脑，我现在脑子里面都是这个[可爱]哈哈简直太魔性了吧！[笑cry][笑cry]我的快乐源泉了 ,[],False,0.13436973094940186
,在厕所带薪拉屎的我默默的打开了QQ浏览器[笑cry][笑cry] ,[],False,0.4256758689880371
,一整个笑出声了，这个摸鱼神曲未免也太魔性了吧，还是QQ浏览器会整活哈哈哈 ,[],False,0.15379130840301514
,笑出声，这个摸鱼神曲未免太魔性了，有点子上头啊，友友们一起听起来[求关注][求关注] ,[],False,0.12174487113952637
, 咱就是说这首歌的歌词可真的太真实了，这不就是上班摸鱼的我自己吗[允悲][允悲]没想到一首歌的歌词都是纪实的文学，瞬间感觉被内涵到了 ,[],False,0.044811129570007324
,  这首歌不愧是摸鱼神曲[笑cry][笑cry]听着就觉得开始上头了，完全就是把我的日常生活状态给展现出来了要不要这么真实？太会搞了[喵喵] ,[],False,0.050194621086120605
, 哈哈哈，这歌词也太魔性了吧，感觉非常有意思啊。我现在脑子里面都是这个[可爱] ,[],False,0.008324146270751953
, 要不然怎么说还得是QQ浏览器这么多年没让人失望过 ,[],False,0.45732760429382324
,很难相信，这还是我印象中的那个QQ浏览器吗？真的是越听越上头的神曲 ,[],False,0.04575538635253906
, 准备先收藏了，下班再听，毕竟自己笑点低，害怕在公司直接暴露出是个摸鱼小达人 ,[],False,0.009900152683258057
,带薪拉屎的我默默打开了QQ浏览器，这不就是真实的我吗？ ,[],False,0.0884239673614502
,这可以循环播放了，一直在我脑子里，真的是绕梁三日，这个可以做到啦。 ,[],False,0.011663615703582764
,这种奇怪又有点 洗 脑 的感觉是怎么回事，听完之后脑内一直在单曲循环哈哈哈哈那一段，QQ浏览器给我了太多欢乐 ,[],False,0.012532532215118408
, 谁能拒绝一首这么魔性的摸鱼神曲呢？听着这个歌词就不自觉的打开了QQ浏览器～ ,[],False,0.3270021677017212
,洗手间那段好搞笑 ,[],False,0.31386345624923706
, 原来上班的时候真的不能拒绝摸鱼的状态，这首歌让我默默的打开了QQ浏览器，带薪拉屎太真实了[允悲][允悲] ,[],False,0.09194397926330566
,  就问谁能拒绝这么上头的一首歌，已经在办公室忍不住跟着唱起来了。 ,[],False,0.01069498062133789
,这也太魔性了吧，我还能再看几遍，这个词马上去下载，太喜欢了 ,[],False,0.010710954666137695
,我宣布，这直接就是新晋神曲，只听一遍就上头，一边听一边笑，就又很真实，也是没谁了 ,[],False,0.09158456325531006
,这一次的摸鱼神曲我爱了，这还是我认识的QQ浏览器吗？ ,[],False,0.24058496952056885
, 原来带薪拉屎说的就是我，QQ浏览器你真的变了，这种摸鱼神曲的歌词已经在我脑海里开始循环了 ,[],False,0.055657029151916504
,"
我好爱这样的歌，就很现充版二次元哈哈哈，QQ浏览器懂我，简直唱出了我的心声，这不就是我的日常摸鱼生活嘛（嘘） ",[],False,0.35053008794784546
,QQ浏览器的歌词真的好魔性啊，而且每一句歌词都很贴近我的内心，我一直在听！ ,[],False,0.006459176540374756
,有没有小伙伴和我一样，听了这首神曲之后，一天脑海里面都在回荡着歌词，厉害还是QQ浏览器厉害 ,[],False,0.4461626410484314
,QQ浏览器的歌词真的好魔性啊，而且每一句歌词都很贴近我的内心，我一直在听！ ,[],False,0.006459176540374756
