ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,"网友举报虎牙一主播表演内容低俗 平台回应：永久封禁！

喝洗脚水、用可乐浇淋私处、把女性踩在脚底……这是虎牙主播“卷毛重头再来”吸睛、赚钱的方式。近日，有多名网友向红星新闻反映，在“虎牙直播”平台上，主播“卷毛重头再来”的直播内容低俗、下流。4月7日，红星新闻记者注意到，“卷毛重头再来”的直播间已被封禁。点开其主页上的直播间，页面提示“该主播涉嫌违规，正在整改中”。然而，其粉丝超话中，有网友留言称，“卷毛重头再来”在其直播微信群中表示，封禁时间仅为一周。

4月9日，记者致电虎牙直播平台。工作人员表示，今年2月，平台监测到“卷毛重头再来”的某次直播内容低俗，对其进行了处罚。近日，平台从网友举报、网络舆情等方面，再次关注到其低俗直播内容。4月8日，虎牙已对“卷毛重头再来”采取永久封禁的措施，平台方不清楚“仅封禁一周”的说法从何而来。（红星新闻）#微博vc计划# ​#微博新知博主##五个一百正能量##视野##民生##万象##热点##天下##社会热门#",[],False,0.43184226751327515
,官宣！大运河流淌着乡愁，也流溢着文脉。在刚刚召开的常州市文商旅融合发展大会上，演员@白鹿my 担任常州市文旅大使，安利宝藏家乡，文昌商盛繁华地 诗画江南看常州，欢迎大家一道来常州来白相相，打卡这座非比寻“常”的“新”动之城。 http://t.cn/A6NVSgvj ,"['文昌', '常州']",True,0.19999223947525024
发布于 北京,"发现一朵“心形云”，
有些奇妙也有些幸运。
周一，工作快乐。[太阳] ",[],False,0.05794423818588257
,网友举报虎牙主播表演低俗内容，平台回应：严禁此类行为，已永久封禁 @新浪新闻 http://t.cn/A66Ebb2H ,[],False,0.4097309708595276
发布于 浙江,"🌈杭州的虞美人开啦！美得不像话~
面对照片词穷了好久
不知该如何向你描述它的美~
#春游季##杭州旅行##春日乐趣大会# 
.
🚗从上海搬来杭州快2年了，作为一名旅行博主总是在路上，走遍外面世界的山川湖海，却忘了欣赏眼前的美好。
.
🏠朋友说，你在杭州是不是都没出门过，我想了想，似乎真的是~她说，径山公园的虞美人开了，要不一起去看看~那咱就说走就走。
.
🌸等到了实地才发现，径山公园的这一大片虞美人真的太美了！我知识库中的词汇都不足以形容它的美~它如莫奈花园般美丽，走在其中仿佛走进了油画中。
.
❤而且令人比较欣喜的是，虞美人在花园的位置算是比较近的，比去其他地方拍鲜花要方便许多。花田间有很多小道可以走在上面~蹲在或者站在小道上，就能拍出美美的大片啦！公园里人比较多，找找机位就行~
.
PS
1⃣️千万不要去踩花花，这么漂亮的花怎么忍心踩踏或采摘！看到花田一些被糟蹋的花真的心疼！
2⃣️花丛里蚊虫蜜蜂比较多，记得去前涂点花露水。
3⃣️最佳拍摄时间是在傍晚时候，我们拍的时候在大中午，光比还是比较大的。 ","['杭州', '上海']",True,0.05658608675003052
发布于 上海,"#WTT新乡冠军赛2023#

冠军奖杯，熠熠生辉✨ ",['新乡'],True,0.016495048999786377
,【#虎牙一主播因表演内容低俗遭永久封禁#】近日，有多名网友反映，在“虎牙直播”平台上，主播“卷毛重头再来”的直播内容低俗。虎牙方面对此回应称，今年2月，平台监测到“卷毛重头再来”的某次直播内容低俗，对其进行了处罚。近日，平台从网友举报、网络舆情等方面，再次关注到其低俗直播内容。4月8日，虎牙已对“卷毛重头再来”采取永久封禁的措施。,[],False,0.46867072582244873
,异性恋真会玩儿。 ,[],False,0.1358371376991272
发布于 福建,"@时代少年团 携手海俪恩眼镜，演绎耀眼青春
一镜聚焦少年清爽姿态~
享受海岛惬意时刻 http://t.cn/A6NV9ltF ",[],False,0.049249231815338135
,"【#虎牙回应网友举报主播表演低俗内容# 已对“卷毛重头再来”采取永久封禁的措施】
喝洗脚水、用可乐浇淋私处、把女性踩在脚底……这是虎牙主播“卷毛重头再来”吸睛、赚钱的方式。近日，有多名网友向红星新闻反映，在“虎牙直播”平台上，@虎牙 主播“卷毛重头再来”的直播内容低俗、下流。#网友举报虎牙一主播表演内容低俗# 只要粉丝付出一定数额的金钱，“卷毛重头再来”就会根据粉丝的要求完成“任务”。为了完成这些任务，“卷毛重头再来”不惜在视频中展示伤害自己、欺凌侮辱他人的画面。

4月9日，记者致电虎牙直播平台。工作人员表示，今年2月，平台监测到“卷毛重头再来”的某次直播内容低俗，对其进行了处罚。近日，平台从网友举报、网络舆情等方面，再次关注到其低俗直播内容。4月8日，虎牙已对“卷毛重头再来”采取永久封禁的措施，平台方不清楚“仅封禁一周”的说法从何而来。（红星新闻）http://t.cn/A66RrqIV",[],False,0.424232542514801
