ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,从没想过要经历的事[单身狗]#新冠抗原自测要点# ,[],False,0.3117119073867798
, 我们这里每一天都要做核酸[苦涩] ,[],False,0.26541560888290405
,有病吧，这种事情也要传播假消息[裂开]，什么心理[疑问] ,[],False,0.9116562008857727
,"【】“最近在网络上一些自媒体在传白云区各核酸采样点全部暂停，这里我正式告诉大家这一消息不实。”在4月13日下午举行的广州市疫情防控新闻发布会上，广州市白云区副区长王晓杰说。#广州新增29例阳性# @广东台触电新闻 L广东台触电新闻的微博视频 ​​​​ 
http://t.cn/A66uIIbk","['广州', '广东', '东台']",True,0.2443854808807373
,这时候怎么还有人造谣啊 ,[],False,0.5202817916870117
发布于 北京,"#大喜来啦# 我的好兄弟，碰都碰上了[挤眼] 逛吃逛吃玩起来……
感谢强大的网友，这么多盆友都在，马上新加入一个，我看看下一个偶遇谁[酷] ",[],False,0.1289234161376953
发布于 广东,"把调色盘穿身上[酷]🎨

#今天很wow# ",[],False,0.265621542930603
,有没有文件要求管控区内的居民居家隔离啊 还要不要上班[单身狗] ,[],False,0.37135809659957886
发布于 上海,全新的#华为MateBook#D 14定位“超联接笔记本”，首发了超材料天线技术，直接整出270米无遮挡超远距离网络连接，在智慧互联能力优势加持下，你会发现华为做的笔记本越来越有自己的特点，许多地方已经超越传统笔记本，从大学校园过渡到职场新人这款华为MateBook D 14都很适合，超材料天线+超级终端组成的超联接能力，能给你大大的提升效率和使用体验。#华为笔记本首发超材料天线技术# #如何评价华为首发的超联接笔记本# #新机来了# http://t.cn/A6NVB9Xh,[],False,0.02237868309020996
,"
喜提捅👃🏻 套餐[奥特曼][奥特曼][奥特曼] ",[],False,0.1983422040939331
发布于 四川,小崔日常📷 ,[],False,0.13255912065505981
,造谣的人是天天闲的蛋疼嘛 ,[],False,0.2782665491104126
,靓仔无语[允悲] ,[],False,0.5565404891967773
,【】“最近在网络上一些自媒体在传白云区各核酸采样点全部暂停，这里我正式告诉大家这一消息不实。”在4月13日下午举行的广州市疫情防控新闻发布会上，广州市白云区副区长王晓杰说。 ,['广州'],True,0.5095822811126709
,【】“最近在网络上一些自媒体在传白云区各核酸采样点全部暂停，这里我正式告诉大家这一消息不实。”在4月13日下午举行的广州市疫情防控新闻发布会上，广州市白云区副区长王晓杰说。 #广州疫情# ,['广州'],True,0.4433977007865906
,【】“最近在网络上一些自媒体在传白云区各核酸采样点全部暂停，这里我正式告诉大家这一消息不实。”在4月13日下午举行的广州市疫情防控新闻发布会上，广州市白云区副区长王晓杰说。http://t.cn/A66uIIbk  #核酸检测时不建议把口罩往上推# ,['广州'],True,0.5027515292167664
,看到澄清才知道有这个谣言的我 ,[],False,0.6881351470947266
,我在钟落潭，没有收到抗原自测的通知啊，是不是因为我失业了，所以没有人通知我了，还是还没开始做抗原自测呢？ ,[],False,0.8607906699180603
发布于 安徽,自拍和拍照已经成为年轻人记录与分享生活新的方式。华为nova11系列首发XD Portrait人像引擎，极大降低拍摄难度，让照片更专业生动，即便是摄影小白也能轻松出“大片”，带来更自由的创作空间。#nova11首发人像新技术##华为nova11有哪些看点# ,[],False,0.05325537919998169
