ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
发布于 重庆,校庆时没有拍出满意的自拍，就不上交咯，那用视频分享几则校庆趣事吧！ http://t.cn/A6NV7GvW ,[],False,0.5752602219581604
,【Ulike脱毛仪低俗广告发布商被罚50万】天眼查App显示，上海定向广告传播有限公司深圳分公司因广告违法行为，被没收违法所得并罚款50万元。据媒体报道，该广告公司为Ulike脱毛仪“没有蓝宝石，我不脱”低俗广告的发布商。 该广告被指打擦边球，引发热议。#ulike脱毛仪低俗广告发布商被罚50万# ,"['上海', '深圳']",True,0.6160465478897095
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['合肥', '宿州', '北京', '安徽']",True,NA
发布于 广东,#在山东开车出行有多幸福# 春暖花开，随着淄博烧烤、济南超然楼、潍坊风筝节等等山东各景点的爆火，各省的人们有坐飞机、有坐高铁、甚至骑摩奔波来到山东游玩，但我觉得在山东还是要首选自驾出游，沿海的青岛、高耸的泰山、秀美的沂蒙风光...自驾在路上说走就走，并且开上全新升级HarmonyOS 3系统的AITO问界你还能体验到更多有趣的玩法！连上超级桌面再用女王化妆镜补个妆，与好友自驾出游走起！玩累了与好友用车机K歌、刷刷视频追追剧，还能呼唤小艺开启小憩模式进入深度休息，这次还升级了智慧寻车、PC与车机协同等功能，真的是直接把车变身成为百宝箱，万物皆可联，让我们在路上的时光越来越美好且丰富，试一下就知道有多过瘾了。再这么升级下去，开AITO问界开上瘾，那是早晚的事儿！AITO山东线下售车门店HarmonyOS 3体验活动已上线，快快去体验一把吧，提前为自驾出游做准备！#你没想到的鸿蒙座舱花式玩法# http://t.cn/A6NVhTDY,"['淄博', '青岛', '潍坊', '济南', '山东']",True,0.24492859840393066
,"#查言观色#【据爱企查App显示，Ulike脱毛仪低俗广告发布商被罚50万元 】据爱企查App显示，近日上海定向广告传播有限公司深圳分公司新增一行政处罚，决定书文号为深市监处罚〔2022〕稽30号，因广告违法行为，被深圳市市场监督管理局罚款50万元并没收违法所得。据此前媒体报道，该公司为Ulike脱毛仪“没有蓝宝石，我不脱”低俗广告的发布商。

据爱企查App显示，上海定向广告传播有限公司深圳分公司成立于2009年，法定代表人为王黎琳，经营范围包括广告业务；软件开发；多媒体领域内的技术开发等。","['上海', '深圳']",True,0.4226168394088745
,其实脱毛仪这玩意吧，原理都一样，ulike性价比不高，真想在家脱毛的话还是建议买一些比较平价的，一样能达到延缓毛发生长的效果，ulike跟奥克斯的我都用过，效果差不多，价格差了好几倍，我想大概是那些赠品的价格太贵了？比较懒的人还是联系去美容院脱吧 ,[],False,0.5402848720550537
,"【#红星播报# 4月8日#今日财经大事件# 】

1、互联网企业近半年来用工人数保持平稳

2、马化腾刘炽平年薪下降超两成，马化腾年薪降至4410万元

3、#肖战告眼镜店侵犯肖像权胜诉#

4、

5、传理想汽车将裁员15%，理想汽车回应：假的

6、腾讯诉软件篡改微信功能获赔315万

7、广州接力贷一日游后被叫停

8、相关方回应少林寺进军房地产传言：投资主体并非少林寺

9、蜜雪冰城门店回应非法使用童工：应该承担这个问题",['广州'],True,0.43436551094055176
,【】天眼查App显示，上海定向广告传播有限公司深圳分公司因广告违法行为，被没收违法所得并罚款50万元。据媒体报道，该广告公司为Ulike脱毛仪“没有蓝宝石，我不脱”低俗广告的发布商。 该广告被指打擦边球，引发热议。  http://t.cn/A66QYgJ4 ,"['上海', '深圳']",True,0.7581996321678162
,"【】
天眼查App显示，近日，上海定向广告传播有限公司深圳分公司因广告违法行为，被没收违法所得并罚款50万元。
值得一提的是，据此前媒体报道，该广告公司为Ulike脱毛仪“没有蓝宝石，我不脱”低俗广告的发布商。
天眼查信息：http://t.cn/A66QEHdC
媒体报道：http://t.cn/A66QEHd9","['上海', '深圳']",True,0.7387188673019409
