ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
发布于 四川,"#狗子都要被馋哭了# 

哈哈哈哈哈哈哈快给它吃一口吧....狗子都要被馋哭了 http://t.cn/A6NVhi5b ",[],False,0.3262699246406555
,"【对足球的热爱】荷兰国家队主教练范加尔日前透露自己得了前列腺癌，已经接受了25次治疗，而这些都没有告诉荷兰国家队的球员。
利物浦后卫范迪克谈及此事表示：“当我听到这个消息时，我很震惊。我给他发了信息，我对他说他不是那种需要同情的人，但我们作为一个团队肯定会支持他，并且我们要在世界杯上留下令人难以遗忘的记忆。”",[],False,0.09897541999816895
发布于 浙江,"4月日常分享🌿天气好好 呀～
       🧚‍♀️试了条仙女裙 好看
       ☁️天气好好呀
       🍪红丝绒好评
       🍑桃子冰美式好喝
       🍞肉桂卷赞
      🥣买了好看的碗餐具准备送大家
      🥥天气一热就想喝椰子！！
      🏀🏀🏀 ",[],False,0.011968135833740234
发布于 北京,"【#律师解读杂技女演员坠亡事件#】#律师称女演员坠亡公司要担主责或全职# 4月15日，安徽宿州。一名女杂技演员在蒿沟镇表演时从高空坠落。16日，九派新闻联系上蒿沟镇派出所，工作人员称事件调查中，相关方正在与其家属协商赔偿方案。

据报道，演艺公司一位王姓负责人告诉记者，演员表演经验丰富，但事发前二人正在闹脾气。针对此事，北京盈科(合肥)律师事务所毛成战律师认为，首先要看女演员与演艺公司之间的关系，如果双方是劳动关系，即用人单位对劳动者具有用工管理权，双方之间形成人身及经济上的从属关系。女演员家属可以向人力资源和社会保障局申请工伤认定，相关赔偿由工伤保险予以赔付，演艺公司未缴纳工伤保险的，相关赔偿由演艺公司承担。

如果双方是劳务关系，即双方是平等的民事权利义务关系，劳动者提供劳务服务，用人单位支付劳务报酬，彼此之间只体现财产关系，不存在行政隶属关系。具有“临时性、短期性、一次性”等特点。此时女演员属于提供劳务者，在提供劳务过程中遭受损害，根据《民法典》1192条规定，提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。

本案女演员坠亡事故发生的原因还有待调查，但是根据目击者称现场没有急救人员，也没有应急措施，说明演艺公司没有尽到安全防护义务，可以大致判断演艺公司至少要承担主要甚至全部的责任。（九派新闻）#坠亡女演员丈夫否认吵架不系安全扣#

你觉得责任在谁？ http://t.cn/A6NVhvhb","['合肥', '安徽', '宿州', '北京']",True,NA
发布于 湖南,"感谢微博超级红人节！
长沙真的好玩，下次还会再来。

#超级红人节##超级红人节长沙##人气大咖趴# ",['长沙'],True,0.011589527130126953
发布于 重庆,校庆时没有拍出满意的自拍，就不上交咯，那用视频分享几则校庆趣事吧！ http://t.cn/A6NV7GvW ,[],False,0.5752602219581604
发布于 湖南,听我说谢谢你们…#极限挑战# http://t.cn/A6NV73xL ,[],False,0.38966554403305054
发布于 广东,#在山东开车出行有多幸福# 春暖花开，随着淄博烧烤、济南超然楼、潍坊风筝节等等山东各景点的爆火，各省的人们有坐飞机、有坐高铁、甚至骑摩奔波来到山东游玩，但我觉得在山东还是要首选自驾出游，沿海的青岛、高耸的泰山、秀美的沂蒙风光...自驾在路上说走就走，并且开上全新升级HarmonyOS 3系统的AITO问界你还能体验到更多有趣的玩法！连上超级桌面再用女王化妆镜补个妆，与好友自驾出游走起！玩累了与好友用车机K歌、刷刷视频追追剧，还能呼唤小艺开启小憩模式进入深度休息，这次还升级了智慧寻车、PC与车机协同等功能，真的是直接把车变身成为百宝箱，万物皆可联，让我们在路上的时光越来越美好且丰富，试一下就知道有多过瘾了。再这么升级下去，开AITO问界开上瘾，那是早晚的事儿！AITO山东线下售车门店HarmonyOS 3体验活动已上线，快快去体验一把吧，提前为自驾出游做准备！#你没想到的鸿蒙座舱花式玩法# http://t.cn/A6NVhTDY,"['济南', '山东', '淄博', '潍坊', '青岛']",True,0.24492859840393066
,"荷媒：范加尔应该会带队参加世界杯，#荷兰足协暂时搁置科曼接替#

荷兰队主帅范加尔在采访中亲承自己在和前列腺癌作斗争，并表示自己已经接受了25次治疗，为不影响球员们的备战一直未告诉球员，自己只能在深夜趁球员不注意自己前往医院接受治疗。范加尔表示目前带领荷兰国家队像是给自己的馈赠，希望自己能带队参加世界杯。

在得知范加尔身患癌症后，包括曼联、巴萨、拜仁等球队和球员纷纷向这名老帅送上祝福，鼓励他战胜病魔，早日康复。",[],False,0.21169817447662354
发布于 浙江,只能说说唱演出的门槛越来越低了，乌烟瘴气的饭圈厂牌，连代表作都唱不好。努力或许不会让别人认可，但却能让自己自豪。 http://t.cn/A6NV7flj ,[],False,0.8221774101257324
,"#巴萨# 荷兰主帅范加尔在接受采访时透露自己身患前列腺癌，足坛界的教练与球员也纷纷送上了自己的祝福。而现任巴塞罗那主帅哈维也在个人社交媒体平台发文为这位荷兰老帅送上祝福。
哈维在ins上晒图写道：“请保持坚强！感谢您所做的一切，送上我最好的祝福！”
值得一提的是，当年正值巴萨主帅的范加尔将哈维提拔至巴萨一线队，从而开启了这位西班牙中场辉煌的职业生涯。",[],False,0.23388952016830444
发布于 浙江,"全体起立！我们尾号6208！上星首秀！
感谢东方卫视！感谢极限挑战！感谢节目组！
#H-严浩翔[音乐]# #极限挑战# 
http://t.cn/A6NVhpkr ",['东方'],True,0.05263864994049072
,"#博鱼品牌# #锦鲤跃浪，奔赴梦想# 体育快讯【世体：哈维邀请范加尔到诺坎普观赛，以感受巴萨球迷的关怀】 根据《世界体育报》的报道，哈维邀请范加尔到诺坎普观看比赛，并让巴萨球迷向这位2度执教巴萨的老帅表示关怀。

1998年，哈维正是在范加尔麾下上演了巴萨一线队首秀，而昨日范加尔确认自己身患前列腺癌。1997年-2000年、2002年-2003年范加尔曾2次执教红蓝军团。",[],False,0.2532523274421692
发布于 广东,在长沙每次打开外卖都会惊呼，太香了，太合我胃口了（大睿睿吃沙拉 ,['长沙'],True,0.008849501609802246
,"目前由于考虑到范加尔的病情，荷兰足协正在加快与罗纳德-科曼谈判的进程。

早些时候范加尔对外宣布自己身患前列腺癌，已经接受了25次治疗。由于范加尔将在荷兰踢完世界杯后离任，他也希望自己的身体状态可以坚持到世界杯结束。 ",[],False,0.1320784091949463
,【原声中字】范戴克在利物浦和本菲卡欧冠赛前新闻发布会谈范加尔#乾隆谈蹴鞠# http://t.cn/A66YReQB ,[],False,0.16796159744262695
,"#荷兰队[超话]#
荷兰队主帅范加尔此前在接受采访时透露自己身患前列腺癌，现任巴塞罗那主帅哈维也在个人社交媒体平台发文为这位老帅送上祝福。
哈维写道：“请保持坚强！感谢您所做的一切，送上我最好的祝福！”
范加尔是哈维的恩师，当年正是主帅范加尔将哈维提拔至巴萨一线队，从而开启了后者辉煌的职业生涯。",[],False,0.25431734323501587
,"
啊，他执导巴萨时打得多好哪 ",[],False,0.23369073867797852
,"【范加尔罹患前列腺癌，能否继续率荷兰征战世界杯？】下周70岁高龄的荷兰国家队主帅范加尔的个人纪录片就将上映，但荷兰球迷却接连得到了两个坏消息：先是范加尔不幸感染新冠病毒，随后就是他在电视台自曝罹患前列腺癌，并在对荷兰国家队球员隐瞒病情的背景下，已接受了超过20次的放射性治疗。虽然范加尔坦言前列腺癌死亡率较低，自己也在积极配合治疗，但考虑到他年逾古稀，荷兰媒体都在讨论范加尔是否应该继续执教国家队。

范加尔的个人意愿固然非常重要，但毕竟他年事已高还身患重病，继续执教的确多少有违人道主义精神。荷兰足协即便现在支持范加尔的个人决定，也肯定要做好两手准备。范马尔维克刚刚宣布退休，希丁克、艾德沃卡特又都是之前荷兰队连续无缘大赛的失败者，毫无疑问科曼是最好的B方案。或许6月的欧国联开战前，荷兰足协就会做出是否换帅的决定。@媒体人寒冰 #足球世界观##足球电子报精彩再出发#

全文下见评论▼",[],False,0.18873268365859985
,"希望早日康复！[心]
经典重温2014年巴西世界杯八强战，范加尔用替补门将克鲁尔，换下了表现也很出色的主力门将西莱森。后者扑出了第二个和第五个点球，帮助荷兰队淘汰哥斯达黎加成功晋级半决赛。 http://t.cn/A66Y9Mg6 ",[],False,0.05257898569107056
,"
 医学双语科普：根治性前列腺切除术   视频翻译by@inukshuk http://t.cn/A6G45QpV  ",[],False,0.09158062934875488
," 范加尔身患前列腺癌,  http://t.cn/A66YaE4l ",[],False,0.12097227573394775
," 祝好！范加尔宣布自己身患前列腺癌,直播吧4月4日讯 范加尔在采访中透露，自己目前身患前列腺癌。范加尔此前执教过阿贾克斯、巴萨、拜仁、曼联等队，目前是荷兰队主帅。  http://t.cn/A66YSapo ",[],False,0.060787200927734375
,"前列腺害怕的六个坏习惯

前列腺号称是男人的“生命腺”，以下是它害怕的六个坏习惯，在日常生活中需要注意。

1.憋尿  憋尿最直接的危害就是让细菌有机可乘。正常情况下，男性尿道的下段存在细菌，排尿时这些细菌会被冲刷掉。经常憋尿会减弱尿液的冲刷作用，使得细菌繁殖数量增加，逆行到尿道，最后引发前列腺炎。另外，经常憋尿还会使膀胱充盈胀大，压迫前列腺，导致排尿无力，加重前列腺肥大的症状。因此，男性朋友在日常生活中尽量不要憋尿。

2.久坐  男性久坐会对前列腺造成直接压迫，长时间的挤压导致局部血液循环障碍，引起腺体充血，使得前列腺腺管阻塞、前列腺液的排泄受阻，从而引起慢性无菌性前列腺炎。因此，建议男性每坐40分钟就站起来活动。开车或坐车久了，也要注意变换一下坐姿，让前列腺得到充分放松。

3.吃辛辣食物  辛辣食物对前列腺和尿道有刺激作用，能引起前列腺和膀胱颈的血管扩张，造成前列腺的抵抗力降低，还可能让前列腺寄居菌群大量生长繁殖，诱发急性前列腺炎症，或加重慢性前列腺炎的症状。因此，应该尽量少摄入辛辣食物。

4.长期酗酒  酒精会刺激前列腺的交感神经，促进其毛细血管扩张，造成组织充血水肿，引起会阴部不适。前列腺充血快、消退慢，临床症状持续时间长。同时，长期酗酒会让前列腺液分泌量提升，影响精子的活跃度，不仅会加重前列腺增生的发展程度，也会影响男性的生育功能。

5.不注意防寒保暖  寒冷会增强人交感神经的兴奋性，使前列腺发生腺体收缩、腺管和血管扩张，引起慢性充血，造成尿道内压增加，从而加重前列腺液的淤积，导致前列腺疾病发作。尤其在寒冷季节，患有良性前列腺增生的老年患者容易出现尿潴留现象。因此，天气变化时，要注意防寒保暖。

6.性生活不规律  性生活次数过多或过少都会对前列腺造成影响。次数过多会引起前列腺过度充血，诱发前列腺炎。次数过少（压抑性欲），则会使前列腺液淤积，诱发炎症。另外，射精前中断性交、体外排精，都会影响前列腺健康。因此，要保持规律的性生活。

来源：健康中国 作者：华西医院泌尿外科主任医师  魏强
",[],False,NA
,"我竟然刚看到范加尔老师患上了前列腺癌症，这是他亲口证实的。
范迪克在得知这一消息后说：想给范加尔教练一个永远不能忘记的世界杯。他说：昨晚我的得知这一消息，非常震惊（我刚看到），我看到那个采访后马上给他发了信息，这意味着很多，我跟他说，他大概不是那种需要同情的人，他就是那样坚强的人。
范老师在去年的8月第三次成为荷兰的教练，所以范迪克说：我告诉他我们所有人都是他坚实的后盾，不管他需要什么，我们都在他身边，希望我们为他能踢一届永远不会忘记的世界杯。#英超##西甲# 
祝愿范老师早日康复，带队征战世界杯，这届我是荷兰队球迷了。",[],False,0.14312666654586792
,希望能带着荷兰队拿下第一座世界杯吧[悲伤][悲伤][悲伤] ,[],False,0.02618306875228882
,"【范加尔罹患前列腺癌，能否继续率荷兰征战世界杯？】下周70岁高龄的荷兰国家队主帅范加尔的个人纪录片就将上映，但荷兰球迷却接连得到了两个坏消息：先是范加尔不幸感染新冠病毒，随后就是他在电视台自曝罹患前列腺癌，并在对荷兰国家队球员隐瞒病情的背景下，已接受了超过20次的放射性治疗。虽然范加尔坦言前列腺癌死亡率较低，自己也在积极配合治疗，但考虑到他年逾古稀，荷兰媒体都在讨论范加尔是否应该继续执教国家队。

范加尔的个人意愿固然非常重要，但毕竟他年事已高还身患重病，继续执教的确多少有违人道主义精神。荷兰足协即便现在支持范加尔的个人决定，也肯定要做好两手准备。范马尔维克刚刚宣布退休，希丁克、艾德沃卡特又都是之前荷兰队连续无缘大赛的失败者，毫无疑问科曼是最好的B方案。或许6月的欧国联开战前，荷兰足协就会做出是否换帅的决定。",[],False,0.14172959327697754
,哈维ins更新：你很强大，教练！感谢您一直以来所做的一切。一个大大的拥抱🔝⚽️😘#巴萨# ,[],False,0.13439840078353882
